name,price,description
iPhone 15 Pro,120000,"Latest Apple iPhone with A17 Pro chip, excellent camera, 256GB storage, titanium body."
Samsung Galaxy S24 Ultra,130000,"Premium Android smartphone with Snapdragon 8 Gen 3, 200MP camera, S-Pen support, AI features."
Google Pixel 8a,45000,"Mid-range Google phone, Tensor G3 chip, outstanding camera capabilities, clean Android experience."
OnePlus 12R,40000,"Performance-focused phone, Snapdragon 8 Gen 2, great battery life and super fast charging."
Redmi Note 13 Pro,25000,"Budget-friendly phone with 200MP camera, 120Hz AMOLED display, good battery life."
Poco X6 Pro,22000,"Gaming-centric smartphone with Dimensity 8300 Ultra, fast performance, 120Hz display."
Motorola Edge 50 Pro,30000,"Sleek design, solid camera, fast charging, clean UI experience."
Realme 12 Pro+,28000,"Periscope telephoto camera, premium design, good battery life."
Samsung Galaxy M34 5G,18000,"Excellent battery life (6000mAh), decent camera, 120Hz display."
Moto G34 5G,12000,"Affordable 5G phone, Snapdragon 695, basic camera, good battery."
Lava Agni 2,19000,"Curved AMOLED display, clean Android, good performance for the price."
Iqoo Z9,19000,"Dimensity 7200 processor, very fast, bright AMOLED display."
Nothing Phone (2a),23000,"Unique glyph interface, clean Nothing OS, good dual cameras."
Vivo T3,18500,"Decent camera, good performance for casual gaming, bright display."
